2;3;4;Name;DAD;GP;TF;EA;IDD;EV;VC;DFM;CP;distanciaRequerida;distanciaPredict;residuos
2;3;4;153;5000;0.6;1;70;4;5;5;1;0;5838.348;5833.07635;-3.513553506
2;3;4;154;5200;0.6;1;70;4;5;5;1;0;6023.88192;6018.334163;-7.692733066
2;3;4;155;5000;1;1;70;4;5;5;1;0;6013.38;6007.813131;5.271649946
2;3;4;156;5200;1;1;70;4;5;5;1;0;6205.9152;6201.312496;5.271649946
2;3;4;157;5000;0.6;3;70;4;5;5;1;0;6318.348;6316.087933;5.271649946
2;3;4;158;5200;0.6;3;70;4;5;5;1;0;6503.88192;6501.345746;-4.61030627
2;3;4;159;5000;1;3;70;4;5;5;1;0;6493.38;6490.824714;11.06721739
2;3;4;160;5200;1;3;70;4;5;5;1;0;6685.9152;6684.324079;2.753740633
2;3;4;161;5000;0.6;1;50;2;15;5;1;0;5721.684;5714.665239;2.753740633
2;3;4;162;5200;0.6;1;50;2;15;5;1;0;5940.95136;5937.010036;2.753740633
2;3;4;163;5000;1;1;50;2;15;5;1;0;5928.54;5924.428616;1.066635174
2;3;4;164;5200;1;1;50;2;15;5;1;0;6156.0816;6155.014965;4.111384378
2;3;4;165;5000;0.6;3;50;2;15;5;1;0;6201.684;6197.676822;5.558357838
2;3;4;166;5200;0.6;3;50;2;15;5;1;0;6420.95136;6420.021619;5.558357838
2;3;4;167;5000;1;3;50;2;15;5;1;0;6408.54;6407.440199;5.558357838
2;3;4;168;5200;1;3;50;2;15;5;1;0;6636.0816;6638.026548;11.29746438
2;3;4;169;5000;0.6;1;70;2;15;5;1;0;6201.684;6197.676822;2.489953645
2;3;4;170;5200;0.6;1;70;2;15;5;1;0;6420.95136;6420.021619;2.489953645
2;3;4;171;5000;1;1;70;2;15;5;1;0;6408.54;6407.440199;2.489953645
2;3;4;172;5200;1;1;70;2;15;5;1;0;6636.0816;6638.026548;0.854268185
2;3;4;173;5000;0.6;3;70;2;15;5;1;0;6681.684;6680.688405;4.60270427
2;3;4;174;5200;0.6;3;70;2;15;5;1;0;6900.95136;6903.033202;4.60270427
2;3;4;175;5000;1;3;70;2;15;5;1;0;6888.54;6890.451782;4.60270427
2;3;4;176;5200;1;3;70;2;15;5;1;0;7116.0816;7121.038131;10.21978819
2;3;4;177;5000;0.6;1;50;4;15;5;1;0;6201.684;6197.676822;3.84753739
2;3;4;178;5200;0.6;1;50;4;15;5;1;0;6420.95136;6420.021619;5.364290849
2;3;4;179;5000;1;1;50;4;15;5;1;0;6408.54;6407.440199;5.364290849
2;3;4;180;5200;1;1;50;4;15;5;1;0;6636.0816;6638.026548;5.364290849
2;3;4;181;5000;0.6;3;50;4;15;5;1;0;6681.684;6680.688405;0.91665373
2;3;4;182;5200;0.6;3;50;4;15;5;1;0;6900.95136;6903.033202;10.71055517
2;3;4;183;5000;1;3;50;4;15;5;1;0;6888.54;6890.451782;-1.768970525
2;3;4;184;5200;1;3;50;4;15;5;1;0;7116.0816;7121.038131;-1.768970525
2;3;4;185;5000;0.6;1;70;4;15;5;1;0;6681.684;6680.688405;-1.768970525
2;3;4;186;5200;0.6;1;70;4;15;5;1;0;6900.95136;6903.033202;5.566869475
2;3;4;187;5000;1;1;70;4;15;5;1;0;6888.54;6890.451782;5.566869475
2;3;4;188;5200;1;1;70;4;15;5;1;0;7116.0816;7121.038131;5.566869475
2;3;4;189;5000;0.6;3;70;4;15;5;1;0;7161.684;7163.699988;1.27750427
2;3;4;190;5200;0.6;3;70;4;15;5;1;0;7380.95136;7386.044785;1.27750427
2;3;4;191;5000;1;3;70;4;15;5;1;0;7368.54;7373.463365;1.27750427
2;3;4;192;5200;1;3;70;4;15;5;1;0;7596.0816;7604.049714;-1.037833066
2;3;4;193;5000;0.6;1;50;2;5;15;1;0;5759.844;5753.081706;10.55861386
2;3;4;194;5200;0.6;1;50;2;5;15;1;0;5980.63776;5976.959023;-0.198467838
2;3;4;195;5000;1;1;50;2;5;15;1;0;5968.14;5964.292463;-0.198467838
2;3;4;196;5200;1;1;50;2;5;15;1;0;6197.2656;6196.411332;-0.198467838
2;3;4;197;5000;0.6;3;50;2;5;15;1;0;6239.844;6236.093289;10.58948085
2;3;4;198;5200;0.6;3;50;2;5;15;1;0;6460.63776;6459.970606;-0.717708741
2;3;4;199;5000;1;3;50;2;5;15;1;0;6448.14;6447.304046;-0.717708741
2;3;4;200;5200;1;3;50;2;5;15;1;0;6677.2656;6679.422915;-0.717708741
2;3;4;201;5000;0.6;1;70;2;5;15;1;0;6239.844;6236.093289;11.05753666
2;3;4;202;5200;0.6;1;70;2;5;15;1;0;6460.63776;6459.970606;2.918221367
2;3;4;203;5000;1;1;70;2;5;15;1;0;6448.14;6447.304046;2.918221367
2;3;4;204;5200;1;1;70;2;5;15;1;0;6677.2656;6679.422915;2.918221367
2;3;4;205;5000;0.6;3;70;2;5;15;1;0;6719.844;6719.104872;-0.474434826
2;3;4;206;5200;0.6;3;70;2;5;15;1;0;6940.63776;6942.982189;-0.474434826
2;3;4;207;5000;1;3;70;2;5;15;1;0;6928.14;6930.315629;-0.474434826
2;3;4;208;5200;1;3;70;2;5;15;1;0;7157.2656;7162.434498;1.273121259
2;3;4;209;5000;0.6;1;50;4;5;15;1;0;6239.844;6236.093289;2.236562873
2;3;4;210;5200;0.6;1;50;4;5;15;1;0;6460.63776;6459.970606;2.236562873
2;3;4;211;5000;1;1;50;4;5;15;1;0;6448.14;6447.304046;2.236562873
2;3;4;212;5200;1;1;50;4;5;15;1;0;6677.2656;6679.422915;11.30092364
2;3;4;213;5000;0.6;3;50;4;5;15;1;0;6719.844;6719.104872;0.929740633
2;3;4;214;5200;0.6;3;50;4;5;15;1;0;6940.63776;6942.982189;0.929740633
2;3;4;215;5000;1;3;50;4;5;15;1;0;6928.14;6930.315629;0.929740633
2;3;4;216;5200;1;3;50;4;5;15;1;0;7157.2656;7162.434498;2.656774378
2;3;4;217;5000;0.6;1;70;4;5;15;1;0;6719.844;6719.104872;2.656774378
2;3;4;218;5200;0.6;1;70;4;5;15;1;0;6940.63776;6942.982189;2.656774378
2;3;4;219;5000;1;1;70;4;5;15;1;0;6928.14;6930.315629;4.007177838
2;3;4;220;5200;1;1;70;4;5;15;1;0;7157.2656;7162.434498;4.007177838
2;3;4;221;5000;0.6;3;70;4;5;15;1;0;7199.844;7202.116455;4.007177838
2;3;4;222;5200;0.6;3;70;4;5;15;1;0;7420.63776;7425.993772;0.667153645
2;3;4;223;5000;1;3;70;4;5;15;1;0;7408.14;7413.327212;0.667153645
2;3;4;224;5200;1;3;70;4;5;15;1;0;7637.2656;7645.446081;0.667153645
2;3;4;225;5000;0.6;1;50;2;15;15;1;0;6763.452;6764.826653;-4.681150054
2;3;4;226;5200;0.6;1;50;2;15;15;1;0;7024.39008;7025.790954;-4.681150054
2;3;4;227;5000;1;1;50;2;15;15;1;0;7009.62;7011.064006;-4.681150054
2;3;4;228;5200;1;1;50;2;15;15;1;0;7280.4048;7280.269859;0.850626463
2;3;4;229;5000;0.6;3;50;2;15;15;1;0;7243.452;7247.838236;3.750710849
2;3;4;230;5200;0.6;3;50;2;15;15;1;0;7504.39008;7508.802537;3.750710849
2;3;4;231;5000;1;3;50;2;15;15;1;0;7489.62;7494.075589;3.750710849
2;3;4;232;5200;1;3;50;2;15;15;1;0;7760.4048;7763.281442;-1.598723259
2;3;4;233;5000;0.6;1;70;2;15;15;1;0;7243.452;7247.838236;-1.598723259
2;3;4;234;5200;0.6;1;70;2;15;15;1;0;7504.39008;7508.802537;-1.598723259
2;3;4;235;5000;1;1;70;2;15;15;1;0;7489.62;7494.075589;2.53617373
2;3;4;236;5200;1;1;70;2;15;15;1;0;7760.4048;7763.281442;-1.82E-12
2;3;4;237;5000;0.6;3;70;2;15;15;1;0;7723.452;7730.849819;2.260066934
2;3;4;238;5200;0.6;3;70;2;15;15;1;0;7984.39008;7991.81412;-3.692654154
2;3;4;239;5000;1;3;70;2;15;15;1;0;7969.62;7977.087172;-3.692654154
2;3;4;240;5200;1;3;70;2;15;15;1;0;8240.4048;8246.293025;-3.692654154
2;3;4;241;5000;0.6;1;50;4;15;15;1;0;7243.452;7247.838236;-0.257842378
2;3;4;242;5200;0.6;1;50;4;15;15;1;0;7504.39008;7508.802537;-0.257842378
2;3;4;243;5000;1;1;50;4;15;15;1;0;7489.62;7494.075589;-0.257842378
2;3;4;244;5200;1;1;50;4;15;15;1;0;7760.4048;7763.281442;-0.548302541
2;3;4;245;5000;0.6;3;50;4;15;15;1;0;7723.452;7730.849819;-0.548302541
2;3;4;246;5200;0.6;3;50;4;15;15;1;0;7984.39008;7991.81412;-0.548302541
2;3;4;247;5000;1;3;50;4;15;15;1;0;7969.62;7977.087172;-1.944947838
2;3;4;248;5200;1;3;50;4;15;15;1;0;8240.4048;8246.293025;-1.944947838
2;3;4;249;5000;0.6;1;70;4;15;15;1;0;7723.452;7730.849819;-1.944947838
2;3;4;250;5200;0.6;1;70;4;15;15;1;0;7984.39008;7991.81412;-0.521629367
2;3;4;251;5000;1;1;70;4;15;15;1;0;7969.62;7977.087172;-0.521629367
2;3;4;252;5200;1;1;70;4;15;15;1;0;8240.4048;8246.293025;-0.521629367
2;3;4;253;5000;0.6;3;70;4;15;15;1;0;8203.452;8213.861402;1.242612486
2;3;4;254;5200;0.6;3;70;4;15;15;1;0;8464.39008;8474.825703;1.242612486
2;3;4;255;5000;1;3;70;4;15;15;1;0;8449.62;8460.098755;1.242612486
2;3;4;256;5200;1;3;70;4;15;15;1;0;8720.4048;8729.304608;2.546774826
2;3;4;257;5000;0.6;1;50;2;5;5;0;1;4675.0835;4667.086584;2.546774826
2;3;4;258;5200;0.6;1;50;2;5;5;0;1;4852.88684;4842.935437;2.546774826
2;3;4;259;5000;1;1;50;2;5;5;0;1;4842.8225;4832.937125;1.099801367
2;3;4;260;5200;1;1;50;2;5;5;0;1;5027.3354;5017.02753;1.099801367
2;3;4;261;5000;0.6;3;50;2;5;5;0;1;5135.0835;5130.098167;1.099801367
2;3;4;262;5200;0.6;3;50;2;5;5;0;1;5312.88684;5305.94702;-2.157314826
2;3;4;263;5000;1;3;50;2;5;5;0;1;5302.8225;5295.948708;-2.157314826
2;3;4;264;5200;1;3;50;2;5;5;0;1;5487.3354;5480.039113;-2.157314826
2;3;4;265;5000;0.6;1;70;2;5;5;0;1;5135.0835;5130.098167;1.591121259
2;3;4;266;5200;0.6;1;70;2;5;5;0;1;5312.88684;5305.94702;4.289087282
